Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
2 Much,0.593,0.583,152796,0.444,0,-8.601,0.0456,119.59,0.167
Deserve You,0.0314,0.677,187239,0.633,0,-7.831,0.0771,89.934,0.409
As I Am (feat. Khalid),0.127,0.595,174406,0.543,0,-8.149,0.038,99.928,0.109
Off My Face,0.92,0.509,156468,0.228,0,-8.68,0.0332,90.674,0.586
Holy (feat. Chance The Rapper),0.2,0.67,212093,0.693,0,-8.34,0.35,87.017,0.388
2 Much,0.593,0.583,152796,0.444,0,-8.601,0.0456,119.59,0.167
Deserve You,0.0314,0.677,187239,0.633,0,-7.831,0.0771,89.934,0.409
As I Am (feat. Khalid),0.127,0.595,174406,0.543,0,-8.149,0.038,99.928,0.109
Off My Face,0.92,0.509,156468,0.228,0,-8.68,0.0332,90.674,0.586
Holy (feat. Chance The Rapper),0.2,0.67,212093,0.693,0,-8.34,0.35,87.017,0.388
2 Much,0.593,0.583,152796,0.444,0,-8.601,0.0456,119.59,0.167
Deserve You,0.0314,0.677,187239,0.633,0,-7.831,0.0771,89.934,0.409
As I Am (feat. Khalid),0.127,0.595,174406,0.543,0,-8.149,0.038,99.928,0.109
Off My Face,0.92,0.509,156468,0.228,0,-8.68,0.0332,90.674,0.586
Holy (feat. Chance The Rapper),0.2,0.67,212093,0.693,0,-8.34,0.35,87.017,0.388
All Around Me,0.809,0.566,136907,0.438,0,-7.564,0.0367,117.127,0.692
Habitual,0.52,0.764,168200,0.443,1.96e-05,-6.625,0.0439,138.999,0.63
Come Around Me,0.263,0.648,200773,0.681,0.00783,-8.389,0.0378,157.941,0.767
Intentions (feat. Quavo),0.3,0.806,212867,0.546,0,-6.637,0.0575,147.986,0.874
Yummy,0.345,0.676,208520,0.506,0,-6.652,0.0958,145.842,0.497
Mark My Words,0.88,0.383,134347,0.256,2.69e-06,-8.572,0.0332,114.188,0.519
I'll Show You,0.05,0.361,199947,0.608,7.96e-05,-6.757,0.098,191.812,0.0789
What Do You Mean?,0.59,0.845,205680,0.567,0.00142,-8.118,0.0956,125.02,0.793
Sorry,0.0797,0.654,200787,0.76,0,-3.669,0.045,99.945,0.41
Love Yourself,0.835,0.609,233720,0.378,0,-9.828,0.438,100.418,0.515
